"area","data","date","time","alertDate","category","category_desc","matrix_id","rid","year","locality","alarm","loc"
25," פזורה 25",2014-07-29,"21:27:34","2014-07-29T21:28:00",1,"ירי רקטות וטילים",1,158,2014,"להבות הבשן",1,"להבותהבשן"
25," פזורה 25",2014-07-29,"21:27:34","2014-07-29T21:28:00",1,"ירי רקטות וטילים",1,158,2014,"גונן",1,"גונן"
25," פזורה 25",2014-07-29,"21:27:09","2014-07-29T21:27:00",1,"ירי רקטות וטילים",1,155,2014,"כפר בלום",1,"כפרבלום"
25," פזורה 25",2014-07-29,"21:27:09","2014-07-29T21:27:00",1,"ירי רקטות וטילים",1,155,2014,"שדה נחמיה",1,"שדהנחמיה"
25," פזורה 25",2014-07-29,"21:27:09","2014-07-29T21:27:00",1,"ירי רקטות וטילים",1,155,2014,"עמיר",1,"עמיר"
25," פזורה 25",2014-07-29,"21:27:09","2014-07-29T21:27:00",1,"ירי רקטות וטילים",1,155,2014,"שמיר",1,"שמיר"
25," פזורה 25",2014-07-29,"21:27:09","2014-07-29T21:27:00",1,"ירי רקטות וטילים",1,155,2014,"כפר סאלד",1,"כפרסאלד"
25," פזורה 25",2014-07-29,"21:27:09","2014-07-29T21:27:00",1,"ירי רקטות וטילים",1,155,2014,"נאות מרדכי",1,"נאותמרדכי"
25," פזורה 25",2014-07-29,"21:27:09","2014-07-29T21:27:00",1,"ירי רקטות וטילים",1,155,2014,"להבות הבשן",1,"להבותהבשן"
25," פזורה 25",2014-07-29,"21:27:09","2014-07-29T21:27:00",1,"ירי רקטות וטילים",1,155,2014,"גונן",1,"גונן"
25," פזורה 25",2014-08-21,"19:41:31","2014-08-21T19:42:00",1,"ירי רקטות וטילים",1,1170,2014,"כפר בלום",1,"כפרבלום"
25," פזורה 25",2014-08-21,"19:41:31","2014-08-21T19:42:00",1,"ירי רקטות וטילים",1,1170,2014,"שדה נחמיה",1,"שדהנחמיה"
25," פזורה 25",2014-08-21,"19:41:31","2014-08-21T19:42:00",1,"ירי רקטות וטילים",1,1170,2014,"עמיר",1,"עמיר"
25," פזורה 25",2014-08-21,"19:41:31","2014-08-21T19:42:00",1,"ירי רקטות וטילים",1,1170,2014,"שמיר",1,"שמיר"
